Datetime,Close,High,Low,Open,Volume
2025-04-08 17:30:00+00:00,172.77000427246094,177.22999572753906,169.21009826660156,175.31219482421875,16156814
2025-04-09 13:30:00+00:00,188.52499389648438,194.49000549316406,171.88999938964844,172.1790008544922,79043153
2025-04-09 17:30:00+00:00,198.85000610351562,200.61000061035156,183.8699951171875,188.50999450683594,78573351
2025-04-10 13:30:00+00:00,188.00999450683594,194.7799072265625,183.0,189.1649932861328,66441887
2025-04-10 17:30:00+00:00,190.44000244140625,192.8000030517578,186.0,187.97000122070312,35000383
2025-04-11 13:30:00+00:00,196.83070373535156,199.35000610351562,186.05999755859375,186.17999267578125,48687905
2025-04-11 17:30:00+00:00,198.02000427246094,199.5399932861328,196.03790283203125,196.8524932861328,24053252
2025-04-14 13:30:00+00:00,203.86399841308594,212.94000244140625,201.16209411621094,211.44000244140625,70505692
2025-04-14 17:30:00+00:00,202.58999633789062,206.66000366210938,202.32000732421875,203.88499450683594,21481155
2025-04-15 13:30:00+00:00,201.60440063476562,203.5050048828125,199.82000732421875,201.85499572753906,27180278
2025-04-15 17:30:00+00:00,202.1300048828125,203.2899932861328,201.30499267578125,201.5850067138672,12493065
2025-04-16 13:30:00+00:00,197.75999450683594,200.6999969482422,196.02000427246094,198.36000061035156,28028928
2025-04-16 17:30:00+00:00,194.3000030517578,197.80999755859375,192.3699951171875,197.75999450683594,20803034
2025-04-17 13:30:00+00:00,196.6999969482422,198.57000732421875,194.4199981689453,197.14999389648438,28487047
2025-04-17 17:30:00+00:00,196.8699951171875,198.83349609375,195.82000732421875,196.7100067138672,13227008
2025-04-21 13:30:00+00:00,190.61399841308594,193.8000030517578,189.8112030029297,193.26499938964844,21143958
2025-04-21 17:30:00+00:00,193.08999633789062,193.4199981689453,190.1999969482422,190.58999633789062,11656560
2025-04-22 13:30:00+00:00,198.5399932861328,201.5500030517578,196.0,196.07000732421875,26740968
2025-04-22 17:30:00+00:00,199.66000366210938,200.5,198.0,198.51620483398438,16391420
2025-04-23 13:30:00+00:00,204.9499969482422,208.0,202.7989959716797,206.0,31546502
2025-04-23 17:30:00+00:00,204.36000061035156,205.75,203.61000061035156,205.0,12067466
2025-04-24 13:30:00+00:00,206.90499877929688,207.02999877929688,202.94000244140625,204.88499450683594,19704429
2025-04-24 17:30:00+00:00,208.1999969482422,208.82989501953125,206.5500030517578,206.9199981689453,12310157
2025-04-25 13:30:00+00:00,209.3701934814453,209.41000366210938,206.1999969482422,206.42999267578125,19838162
2025-04-25 17:30:00+00:00,209.22999572753906,209.42999267578125,207.3699951171875,209.38999938964844,9828701
2025-04-28 13:30:00+00:00,208.13999938964844,211.5,207.4600067138672,210.05999755859375,18061129
2025-04-28 17:30:00+00:00,210.08999633789062,211.4998016357422,208.0800018310547,208.13499450683594,9295041
2025-04-29 13:30:00+00:00,210.36000061035156,212.24000549316406,208.3699951171875,208.6929931640625,17641052
2025-04-29 17:30:00+00:00,211.24000549316406,211.96060180664062,210.22000122070312,210.3699951171875,8208600
2025-04-30 13:30:00+00:00,211.0800018310547,211.36000061035156,206.67050170898438,209.3000030517578,16755994
2025-04-30 17:30:00+00:00,212.49000549316406,213.5399932861328,210.0500030517578,211.07000732421875,13395825
2025-05-01 13:30:00+00:00,212.50999450683594,214.22000122070312,208.89999389648438,209.00999450683594,25393103
2025-05-01 17:30:00+00:00,212.8300018310547,214.5500030517578,212.06500244140625,212.50999450683594,13904647
2025-05-02 13:30:00+00:00,204.69900512695312,206.99000549316406,202.2100067138672,206.08999633789062,56380979
2025-05-02 17:30:00+00:00,205.3000030517578,205.8300018310547,203.66000366210938,204.6999969482422,25959801
2025-05-05 13:30:00+00:00,200.41000366210938,203.94000244140625,198.2100067138672,203.125,36700512
2025-05-05 17:30:00+00:00,198.77000427246094,201.16000366210938,198.5196990966797,200.41000366210938,16029771
2025-05-06 13:30:00+00:00,199.4250030517578,200.6490020751953,197.02000427246094,198.125,29509219
2025-05-06 17:30:00+00:00,198.41000366210938,200.1699981689453,198.3800048828125,199.4499969482422,10782022
2025-05-07 13:30:00+00:00,195.3000030517578,199.44000244140625,193.25,199.19500732421875,33076511
2025-05-07 17:30:00+00:00,196.25,197.4698944091797,193.3000030517578,195.32000732421875,16299504
2025-05-08 13:30:00+00:00,199.13999938964844,200.0498046875,194.67959594726562,197.74000549316406,25871261
2025-05-08 17:30:00+00:00,199.27000427246094,199.52000427246094,198.08999633789062,199.13999938964844,6288846
